package,version,snapshot_time,folder,subfolder
aMNLFA,1.1.2,2022-01-20 17:27:41,pending,NA
BEKKs,1.0.0,2022-01-20 17:27:41,newbies,NA
bibs,1.1.1,2022-01-20 17:27:41,pretest,NA
bpAcc,0.0-1,2022-01-20 17:27:41,newbies,NA
chessR,1.5.0,2022-01-20 17:27:41,newbies,NA
contingencytables,1.0.0,2022-01-20 17:27:41,newbies,NA
cyjShiny,1.0.34,2022-01-20 17:27:41,newbies,NA
doMC,1.3.8,2022-01-20 17:27:41,waiting,NA
doSNOW,1.0.20,2022-01-20 17:27:41,waiting,NA
ecochange,2.4,2022-01-20 17:27:41,inspect,NA
factset.protobuf.stach.v2,1.0.2,2022-01-20 17:27:41,pending,NA
flightsbr,0.0.1,2022-01-20 17:27:41,newbies,NA
foreach,1.5.2,2022-01-20 17:27:41,waiting,NA
hal9001,0.4.2,2022-01-20 17:27:41,waiting,NA
icertool,0.0.3,2022-01-20 17:27:41,newbies,NA
intensitynet,1.0.0,2022-01-20 17:27:41,newbies,NA
iterators,1.0.14,2022-01-20 17:27:41,waiting,NA
libproj,8.2.1-1,2022-01-20 17:27:41,pending,NA
mappp,1.0.0,2022-01-20 17:27:41,newbies,NA
MatchIt,4.3.3,2022-01-20 17:27:41,waiting,NA
mfp,1.5.2.2,2022-01-20 17:27:41,newbies,NA
moderndive,0.5.3,2022-01-20 17:27:41,publish,NA
multilinguer,0.2.1,2022-01-20 17:27:41,pending,NA
netmap,0.1.0,2022-01-20 17:27:41,newbies,NA
nflplotR,1.0.0,2022-01-20 17:27:41,newbies,NA
nloptr,2.0.0,2022-01-20 17:27:41,waiting,NA
optimbase,1.0-10,2022-01-20 17:27:41,newbies,NA
ORKM,0.0.0.3,2022-01-20 17:27:41,newbies,NA
psre,0.1.0,2022-01-20 17:27:41,newbies,NA
quantreg,5.87,2022-01-20 17:27:41,waiting,NA
rshift,2.1.1,2022-01-20 17:27:41,newbies,NA
scryr,1.0.0,2022-01-20 17:27:41,publish,NA
starsTileServer,0.1,2022-01-20 17:27:41,inspect,NA
subsemble,0.1.0,2022-01-20 17:27:41,newbies,NA
TidyDensity,0.0.1,2022-01-20 17:27:41,newbies,NA
TmCalculator,1.0.2,2022-01-20 17:27:41,waiting,NA
webtools,0.7.9,2022-01-20 17:27:41,waiting,NA
