package,version,snapshot_time,folder,subfolder
aceEditor,0.1.0,2020-10-14 15:14:44,newbies,NA
acled.api,1.0.6,2020-10-14 15:14:44,inspect,NA
act,0.92,2020-10-14 15:14:44,newbies,NA
altmeta,3.2,2020-10-14 15:14:44,inspect,NA
APML,0.0.1,2020-10-14 15:14:44,newbies,NA
asymptor,0.2,2020-10-14 15:14:44,newbies,NA
autovarCore,1.0-6,2020-10-14 15:14:44,newbies,NA
bayesmove,0.1.0,2020-10-14 15:14:44,newbies,NA
BET,0.1.0,2020-10-14 15:14:44,newbies,NA
bggAnalytics,0.1.1,2020-10-14 15:14:44,newbies,NA
biogrowth,0.1.0,2020-10-14 15:14:44,newbies,NA
BlackCarbon,0.1.0,2020-10-14 15:14:44,newbies,NA
CausalMBSTS,0.1.0,2020-10-14 15:14:44,newbies,NA
cd,0.1.0,2020-10-14 15:14:44,newbies,NA
cspp,0.2.0,2020-10-14 15:14:44,newbies,NA
CTD,0.99.8,2020-10-14 15:14:44,newbies,NA
deepgp,0.1.0,2020-10-14 15:14:44,newbies,NA
DIDmultiplegt,0.1.0,2020-10-14 15:14:44,newbies,NA
drhur,0.1.0,2020-10-14 15:14:44,newbies,NA
DSMParallelComputing,1.0,2020-10-14 15:14:44,newbies,NA
efdcr,0.4.1,2020-10-14 15:14:44,newbies,NA
eirm,0.2.0,2020-10-14 15:14:44,newbies,NA
FFdownload,1.0.3,2020-10-14 15:14:44,newbies,NA
findInFiles,0.1.0,2020-10-14 15:14:44,newbies,NA
GARCOM,1.2.0,2020-10-14 15:14:44,newbies,NA
gaussplotR,0.1.4,2020-10-14 15:14:44,newbies,NA
GCSM,0.1.0,2020-10-14 15:14:44,newbies,NA
geodist,0.0.6,2020-10-14 15:14:44,waiting,NA
ggmulti,0.1.0,2020-10-14 15:14:44,newbies,NA
glca,1.0.2,2020-10-14 15:14:44,inspect,NA
gpbStat,0.1.0,2020-10-14 15:14:44,newbies,NA
healthfinance,0.1.0,2020-10-14 15:14:44,newbies,NA
hkdatasets,0.0.3,2020-10-14 15:14:44,newbies,NA
IAcsSPCR,0.1.5,2020-10-14 15:14:44,newbies,NA
IBMPopSim,0.3.0,2020-10-14 15:14:44,newbies,NA
imbibe,0.1.0,2020-10-14 15:14:44,newbies,NA
interleave,0.1.0,2020-10-14 15:14:44,newbies,NA
inti,0.1.0,2020-10-14 15:14:44,newbies,NA
ivsacim,1.0,2020-10-14 15:14:44,newbies,NA
JSconsole,0.1.0,2020-10-14 15:14:44,newbies,NA
keys,0.1.0,2020-10-14 15:14:44,newbies,NA
klsh,0.1.0,2020-10-14 15:14:44,newbies,NA
LimnoPalettes,0.1.0,2020-10-14 15:14:44,newbies,NA
lme4,1.1-25,2020-10-14 15:14:44,waiting,NA
lucas,1.0,2020-10-14 15:14:44,newbies,NA
marmap,1.0.5,2020-10-14 15:14:44,inspect,NA
mbmixture,0.2-5,2020-10-14 15:14:44,newbies,NA
mcmcensemble,2.0,2020-10-14 15:14:44,newbies,NA
MGDrivE2,1.0.0,2020-10-14 15:14:44,newbies,NA
N2R,0.1.1,2020-10-14 15:14:44,pending,NA
node2vec,0.1.0,2020-10-14 15:14:44,newbies,NA
nsga3r,0.1.1,2020-10-14 15:14:44,newbies,NA
packDAMipd,0.1.0,2020-10-14 15:14:44,newbies,NA
packer,0.0.6,2020-10-14 15:14:44,newbies,NA
PAMmisc,1.6.3,2020-10-14 15:14:44,newbies,NA
parallelly,1.20.0,2020-10-14 15:14:44,newbies,NA
plethem,1.1.0,2020-10-14 15:14:44,newbies,NA
podr,0.0.4,2020-10-14 15:14:44,newbies,NA
PortalHacienda,0.1.5,2020-10-14 15:14:44,waiting,NA
