package,version,snapshot_time,folder,subfolder
AgroR,1.2.4,2021-11-19 11:29:48,pending,NA
ANTs,0.0.13,2021-11-19 11:29:48,pending,NA
arrow,6.0.1,2021-11-19 11:29:48,pending,NA
cdrcR,0.0.1,2021-11-19 11:29:48,newbies,NA
CIDER,0.99.0,2021-11-19 11:29:48,newbies,NA
dietr,1.1.2,2021-11-19 11:29:48,inspect,NA
disprose,0.1.0,2021-11-19 11:29:48,newbies,NA
easyDes,6.0,2021-11-19 11:29:48,publish,NA
EpiSignalDetection,0.1.2,2021-11-19 11:29:48,pending,NA
Eunomia,1.0.2,2021-11-19 11:29:48,pending,NA
fabisearch,0.0.3.9,2021-11-19 11:29:48,inspect,NA
git2r,0.29.0,2021-11-19 11:29:48,waiting,NA
groupTesting,1.0.0,2021-11-19 11:29:48,newbies,NA
libproj,8.1.0-2,2021-11-19 11:29:48,pending,NA
ltable,2.0.1,2021-11-19 11:29:48,waiting,NA
magi,1.1.1,2021-11-19 11:29:48,pending,NA
MethodCompare,0.1.1,2021-11-19 11:29:48,waiting,NA
MIMSunit,0.11.1,2021-11-19 11:29:48,pending,NA
npphen,1.1.1,2021-11-19 11:29:48,pending,NA
oskeyring,0.1.2,2021-11-19 11:29:48,pending,NA
OSTE,1.0,2021-11-19 11:29:48,newbies,NA
RCzechia,1.8.5,2021-11-19 11:29:48,pending,NA
rio,0.5.29,2021-11-19 11:29:48,pending,NA
RMVL,0.0.3.3,2021-11-19 11:29:48,pending,NA
rstac,0.9.1-6,2021-11-19 11:29:48,waiting,NA
sweater,0.1.0,2021-11-19 11:29:48,newbies,NA
SWTools,0.2.1.0,2021-11-19 11:29:48,human,UL
taxadb,0.1.4,2021-11-19 11:29:48,pending,NA
tetragon,1.0.0,2021-11-19 11:29:48,newbies,NA
torch,0.6.1,2021-11-19 11:29:48,pending,NA
tsentiment,1.0.2,2021-11-19 11:29:48,pending,NA
vivid,0.2.3,2021-11-19 11:29:48,waiting,NA
