package,version,snapshot_time,folder,subfolder,submission_time
bigsnpr,1.9.11,2022-02-16 14:22:41,pending,NA,2022-02-16 09:23:00
BSPADATA,1.1.0,2022-02-16 14:22:41,pretest,NA,2022-02-16 13:21:00
cassowaryr,1.0.1,2022-02-16 14:22:41,waiting,NA,2022-02-02 04:14:00
clustAnalytics,0.3,2022-02-16 14:22:41,pretest,NA,2022-02-16 13:01:00
contribution,0.2.1,2022-02-16 14:22:41,waiting,NA,2022-02-13 01:46:00
eggCounts,2.3-2,2022-02-16 14:22:41,waiting,NA,2022-02-16 07:20:00
FastJM,1.1.2,2022-02-16 14:22:41,pending,NA,2022-02-15 16:33:00
FAVAR,0.1.1,2022-02-16 14:22:41,pending,NA,2022-02-16 07:05:00
fido,1.0.0,2022-02-16 14:22:41,newbies,NA,2022-02-15 20:29:00
ganGenerativeData,1.3.3,2022-02-16 14:22:41,inspect,NA,2022-02-16 12:05:00
geobr,1.6.6,2022-02-16 14:22:41,waiting,NA,2022-02-04 14:04:00
implicitMeasures,0.2.1,2022-02-16 14:22:41,inspect,NA,2022-02-15 17:41:00
insight,0.16.0,2022-02-16 14:22:41,waiting,NA,2022-02-16 09:25:00
irboost,0.1-1.1,2022-02-16 14:22:41,newbies,NA,2022-02-16 02:47:00
MazamaTimeSeries,0.2.2,2022-02-16 14:22:41,newbies,NA,2022-02-16 01:54:00
multiUS,1.1.0,2022-02-16 14:22:41,newbies,NA,2022-02-16 09:09:00
mvabund,4.2.1,2022-02-16 14:22:41,waiting,NA,2022-02-11 08:10:00
PDMIF,0.1.0,2022-02-16 14:22:41,inspect,NA,2022-02-16 12:53:00
rankFD,0.1.1,2022-02-16 14:22:41,inspect,NA,2022-02-10 21:17:00
ravetools,0.0.3,2022-02-16 14:22:41,pending,NA,2022-02-16 00:40:00
regweight,1.0.2,2022-02-16 14:22:41,inspect,NA,2022-02-14 17:56:00
respR,2.0.0,2022-02-16 14:22:41,newbies,NA,2022-02-16 10:52:00
Rfast,2.0.6,2022-02-16 14:22:41,pending,NA,2022-02-15 12:43:00
spatstat.gui,2.0-1,2022-02-16 14:22:41,pretest,NA,2022-02-16 13:02:00
spatstat.Knet,2.0-1,2022-02-16 14:22:41,pretest,NA,2022-02-16 13:02:00
spatstat.local,4.1-2,2022-02-16 14:22:41,pretest,NA,2022-02-16 13:02:00
supercells,0.8.0,2022-02-16 14:22:41,newbies,NA,2022-02-15 19:04:00
terra,1.5-21,2022-02-16 14:22:41,waiting,NA,2022-02-15 19:46:00
torch,0.7.0,2022-02-16 14:22:41,pending,NA,2022-02-15 16:37:00
vmdTDNN,0.1.0,2022-02-16 14:22:41,newbies,NA,2022-02-16 11:52:00
