package,version,snapshot_time,folder,subfolder,submission_time
AHMbook,0.2.6,2022-05-11 22:23:19,waiting,NA,2022-05-06 02:00:00
biogeom,1.0.5,2022-05-11 22:23:19,newbies,NA,2022-05-11 09:09:00
CARBayesdata,3.0,2022-05-11 22:23:19,waiting,NA,2022-05-11 16:00:00
causalDisco,0.9.1,2022-05-11 22:23:19,newbies,NA,2022-05-10 18:41:00
CEOdata,1.2.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 14:54:00
chronicler,0.2.0,2022-05-11 22:23:19,newbies,NA,2022-05-10 22:37:00
circularEV,0.1.1,2022-05-11 22:23:19,waiting,NA,2022-05-02 21:41:00
COMIX,0.1.5,2022-05-11 22:23:19,pending,NA,2022-05-11 16:11:00
CopSens,0.1.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 08:25:00
CSCDRNA,1.0.1,2022-05-11 22:23:19,newbies,NA,2022-05-11 18:22:00
currentSurvival,1.1,2022-05-11 22:23:19,waiting,NA,2022-05-04 16:25:00
diceR,1.2.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 21:24:00
dimensionalAnalysis,0.1.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 17:03:00
DLPCA,0.0.1,2022-05-11 22:23:19,newbies,NA,2022-05-06 09:45:00
dsims,0.2.3,2022-05-11 22:23:19,waiting,NA,2022-05-05 13:12:00
epm,1.0.0,2022-05-11 22:23:19,inspect,NA,2022-05-11 20:00:00
EvoPhylo,0.1,2022-05-11 22:23:19,newbies,NA,2022-05-11 02:35:00
fanc,2.3.4,2022-05-11 22:23:19,newbies,NA,2022-05-10 11:17:00
FloodFreqPlot,0.1.0,2022-05-11 22:23:19,newbies,NA,2022-05-10 22:21:00
FLSSS,9.0.9,2022-05-11 22:23:19,newbies,NA,2022-05-10 03:29:00
FRESHD,1.0,2022-05-11 22:23:19,newbies,NA,2022-05-10 20:39:00
gap,1.2.3-5,2022-05-11 22:23:19,waiting,NA,2022-05-09 23:29:00
geepack,1.3.4,2022-05-11 22:23:19,waiting,NA,2022-05-03 08:54:00
geomaroc,0.1.1,2022-05-11 22:23:19,newbies,NA,2022-05-11 17:05:00
getwiki,0.9.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 02:17:00
GLDEX,2.0.0.8,2022-05-11 22:23:19,newbies,NA,2022-05-09 14:49:00
habCluster,1.0.2,2022-05-11 22:23:19,newbies,NA,2022-05-11 03:02:00
insight,0.17.1,2022-05-11 22:23:19,waiting,NA,2022-05-04 09:39:00
IPEDSuploadables,2.4.5,2022-05-11 22:23:19,newbies,NA,2022-05-10 21:44:00
iscoCrosswalks,1.0.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 11:05:00
metrica,1.2.3,2022-05-11 22:23:19,newbies,NA,2022-05-11 09:13:00
mlr3fairness,0.3.0,2022-05-11 22:23:19,newbies,NA,2022-05-11 19:08:00
