"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","submitted","folder"
"44","newbies",2020-09-12 07:13:00,"2020","17:20","lightgbm","3.0.0",2020-09-11 15:20:00,0.7,"0.7 day(s) ago","newbies"
"45","newbies",2020-09-12 07:13:00,"2020","17:36","splmm","1.0",2020-09-11 15:36:00,0.7,"0.7 day(s) ago","newbies"
"46","newbies",2020-09-12 07:13:00,"2020","13:22","broom.helpers","1.0.0",2020-09-11 11:22:00,0.8,"0.8 day(s) ago","newbies"
"47","newbies",2020-09-12 07:13:00,"2020","14:02","gamma","1.0.0",2020-09-11 12:02:00,0.8,"0.8 day(s) ago","newbies"
"48","newbies",2020-09-12 07:13:00,"2020","14:13","pfica","0.1.0",2020-09-11 12:13:00,0.8,"0.8 day(s) ago","newbies"
"49","newbies",2020-09-12 07:13:00,"2020","14:04","shattering","1.0",2020-09-11 12:04:00,0.8,"0.8 day(s) ago","newbies"
"50","newbies",2020-09-12 07:13:00,"2020","12:20","MALDIrppa","1.0.5",2020-09-11 10:20:00,0.9,"0.9 day(s) ago","newbies"
"51","newbies",2020-09-12 07:13:00,"2020","11:16","ciccr","0.1.0",2020-09-11 09:16:00,0.9,"0.9 day(s) ago","newbies"
"52","newbies",2020-09-12 07:13:00,"2020","10:49","covid19swiss","0.1.0",2020-09-11 08:49:00,0.9,"0.9 day(s) ago","newbies"
"53","newbies",2020-09-12 07:13:00,"2020","12:19","faux","0.0.1.5",2020-09-11 10:19:00,0.9,"0.9 day(s) ago","newbies"
"54","newbies",2020-09-12 07:13:00,"2020","04:01","akmbiclust","0.1.0",2020-09-11 02:01:00,1.2,"1.2 day(s) ago","newbies"
"55","newbies",2020-09-12 07:13:00,"2020","03:50","r5r","0.1.0",2020-09-11 01:50:00,1.2,"1.2 day(s) ago","newbies"
"56","newbies",2020-09-12 07:13:00,"2020","01:25","ech","0.1.0",2020-09-10 23:25:00,1.3,"1.3 day(s) ago","newbies"
"57","newbies",2020-09-12 07:13:00,"2020","22:54","bmgarch","1.0.0",2020-09-10 20:54:00,1.4,"1.4 day(s) ago","newbies"
"58","newbies",2020-09-12 07:13:00,"2020","22:04","SE.EQ","1.0",2020-09-10 20:04:00,1.5,"1.5 day(s) ago","newbies"
"59","newbies",2020-09-12 07:13:00,"2020","21:07","befproj","0.1.1",2020-09-10 19:07:00,1.5,"1.5 day(s) ago","newbies"
"60","newbies",2020-09-12 07:13:00,"2020","20:13","condTruncMVN","0.0.2",2020-09-10 18:13:00,1.5,"1.5 day(s) ago","newbies"
"61","newbies",2020-09-12 07:13:00,"2020","20:35","simfinapi","0.1.0",2020-09-10 18:35:00,1.5,"1.5 day(s) ago","newbies"
"62","newbies",2020-09-12 07:13:00,"2020","18:31","ACEsearch","1.0.0",2020-09-10 16:31:00,1.6,"1.6 day(s) ago","newbies"
"63","newbies",2020-09-12 07:13:00,"2020","18:02","MAPITR","1.0.5",2020-09-10 16:02:00,1.6,"1.6 day(s) ago","newbies"
"64","newbies",2020-09-12 07:13:00,"2020","19:22","glvmfit","0.0.0",2020-09-10 17:22:00,1.6,"1.6 day(s) ago","newbies"
"65","newbies",2020-09-12 07:13:00,"2020","19:20","inldata","1.0.3",2020-09-10 17:20:00,1.6,"1.6 day(s) ago","newbies"
"66","newbies",2020-09-12 07:13:00,"2020","19:34","weibull4","0.1.0",2020-09-10 17:34:00,1.6,"1.6 day(s) ago","newbies"
"67","newbies",2020-09-12 07:13:00,"2020","17:00","GenHMM1d","0.1.0",2020-09-10 15:00:00,1.7,"1.7 day(s) ago","newbies"
"68","newbies",2020-09-12 07:13:00,"2020","16:49","SLTCA","0.1.0",2020-09-10 14:49:00,1.7,"1.7 day(s) ago","newbies"
"69","newbies",2020-09-12 07:13:00,"2020","16:02","dfrr","0.1.4",2020-09-10 14:02:00,1.7,"1.7 day(s) ago","newbies"
"70","newbies",2020-09-12 07:13:00,"2020","16:44","mlr3hyperband","0.1.0",2020-09-10 14:44:00,1.7,"1.7 day(s) ago","newbies"
"71","newbies",2020-09-12 07:13:00,"2020","17:12","survivalMPLdc","0.1.0",2020-09-10 15:12:00,1.7,"1.7 day(s) ago","newbies"
"72","newbies",2020-09-12 07:13:00,"2020","16:54","waves","0.1.0",2020-09-10 14:54:00,1.7,"1.7 day(s) ago","newbies"
"73","newbies",2020-09-12 07:13:00,"2020","13:54","LimnoPalettes","0.1.0",2020-09-10 11:54:00,1.8,"1.8 day(s) ago","newbies"
"74","newbies",2020-09-12 07:13:00,"2020","14:11","cmsafops","1.0.0",2020-09-10 12:11:00,1.8,"1.8 day(s) ago","newbies"
"75","newbies",2020-09-12 07:13:00,"2020","12:51","eatTools","0.3.6",2020-09-10 10:51:00,1.8,"1.8 day(s) ago","newbies"
"76","newbies",2020-09-12 07:13:00,"2020","11:55","EDNE.EQ","1.0",2020-09-10 09:55:00,1.9,"1.9 day(s) ago","newbies"
"77","newbies",2020-09-12 07:13:00,"2020","10:51","medrxivr","0.0.3",2020-09-10 08:51:00,1.9,"1.9 day(s) ago","newbies"
"78","newbies",2020-09-12 07:13:00,"2020","10:21","contactdata","0.1",2020-09-10 08:21:00,2,"2 day(s) ago","newbies"
"79","newbies",2020-09-12 07:13:00,"2020","07:34","keyToEnglish","0.1.0",2020-09-10 05:34:00,2.1,"2.1 day(s) ago","newbies"
"80","newbies",2020-09-12 07:13:00,"2020","23:56","PAMmisc","1.6.1",2020-09-09 21:56:00,2.4,"2.4 day(s) ago","newbies"
"81","newbies",2020-09-12 07:13:00,"2020","23:10","gde","0.1.4",2020-09-09 21:10:00,2.4,"2.4 day(s) ago","newbies"
"82","newbies",2020-09-12 07:13:00,"2020","19:43","PBIR","0.1-0",2020-09-09 17:43:00,2.6,"2.6 day(s) ago","newbies"
