package,version,snapshot_time,folder,subfolder,submission_time
ahMLE,1.20.1,2022-03-09 12:17:16,pretest,NA,2022-03-09 10:17:00
arcpullr,0.2.3,2022-03-09 12:17:16,newbies,NA,2022-03-08 19:23:00
BBmisc,1.12,2022-03-09 12:17:16,waiting,NA,2022-03-04 14:28:00
BoutrosLab.plotting.general,7.0.0,2022-03-09 12:17:16,waiting,NA,2022-02-17 13:59:00
calendRio,0.2.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 09:25:00
cpfa,1.0-0,2022-03-09 12:17:16,newbies,NA,2022-03-08 19:59:00
ctbi,1.0.1,2022-03-09 12:17:16,newbies,NA,2022-03-08 11:09:00
czso,0.3.9,2022-03-09 12:17:16,pretest,NA,2022-03-09 10:13:00
disprose,0.1.6,2022-03-09 12:17:16,waiting,NA,2022-03-07 01:30:00
ExactMed,0.1.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 14:28:00
FAVAR,0.1.1,2022-03-09 12:17:16,waiting,NA,2022-02-17 00:50:00
FlywayNet,0.1.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 12:56:00
glmnet,4.1-4,2022-03-09 12:17:16,waiting,NA,2022-03-09 00:25:00
glmnetExt,0.1.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 08:00:00
HCTDesign,0.7.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 00:26:00
IDConverter,0.2.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 14:09:00
leidenbase,0.1.9,2022-03-09 12:17:16,waiting,NA,2022-02-23 18:13:00
Matrix,1.4-1,2022-03-09 12:17:16,pretest,NA,2022-03-09 11:10:00
meltt,0.4.2,2022-03-09 12:17:16,waiting,NA,2022-03-07 10:18:00
MHDA,1.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 13:49:00
monobin,0.2.2,2022-03-09 12:17:16,recheck,NA,2022-03-09 08:38:00
MSclust,1.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 21:54:00
mvgb,0.0.1,2022-03-09 12:17:16,newbies,NA,2022-03-09 01:42:00
owidR,1.2.0,2022-03-09 12:17:16,waiting,NA,2022-03-08 19:40:00
parameters,0.17.0,2022-03-09 12:17:16,waiting,NA,2022-03-07 19:23:00
PSGD,1.0.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 03:37:00
QI,0.1.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 11:13:00
rankFD,0.1.1,2022-03-09 12:17:16,inspect,NA,2022-02-10 21:17:00
rbedrock,0.2.0,2022-03-09 12:17:16,waiting,NA,2022-03-08 23:50:00
REddyProc,1.3.2,2022-03-09 12:17:16,inspect,NA,2022-03-09 09:40:00
relsurv,2.2-7,2022-03-09 12:17:16,pretest,NA,2022-03-09 10:19:00
remiod,1.0.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 00:08:00
RSDK,1.0.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 07:13:00
rwicc,0.1.3,2022-03-09 12:17:16,newbies,NA,2022-03-09 01:24:00
sentiment.ai,0.1.0,2022-03-09 12:17:16,newbies,NA,2022-03-09 05:21:00
ShinyDemo,0.9.0,2022-03-09 12:17:16,newbies,NA,2022-03-08 12:56:00
sigminer,2.1.3,2022-03-09 12:17:16,pretest,NA,2022-03-09 11:07:00
siren,1.0.1,2022-03-09 12:17:16,newbies,NA,2022-03-08 11:36:00
socialrisk,0.5.0,2022-03-09 12:17:16,inspect,NA,2022-03-09 05:07:00
TDA,1.8.6,2022-03-09 12:17:16,waiting,NA,2022-02-28 14:47:00
templateICAr,0.3.1,2022-03-09 12:17:16,newbies,NA,2022-03-08 14:09:00
udunits2,0.13.3,2022-03-09 12:17:16,waiting,NA,2022-02-17 04:34:00
vetiver,0.1.3,2022-03-09 12:17:16,waiting,NA,2022-03-08 21:44:00
