package,version,snapshot_time,folder,subfolder,submission_time
BATSS,0.7.14,2024-07-11 19:10:29,newbies,NA,2024-07-10 18:35:00
BiasedUrn,2.0.12,2024-07-11 19:10:29,human,UL,2024-05-11 09:19:00
CPoptim,0.1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 02:05:00
CodelistGenerator,3.1.0,2024-07-11 19:10:29,waiting,NA,2024-07-11 18:34:00
CovRegRF,2.0.1,2024-07-11 19:10:29,pending,NA,2024-07-10 04:19:00
DFA,1.0.0,2024-07-11 19:10:29,human,UL,2024-02-17 15:16:00
DIDmultiplegtDYN,1.0.3,2024-07-11 19:10:29,human,UL,2024-02-22 11:50:00
EWOC.Comb,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 04:39:00
EpiNow2,1.3.3,2024-07-11 19:10:29,human,UL,2022-11-01
InspectionPlanner,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 20:54:00
LMPdata,0.1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 10:34:00
LogicForest,2.1.0,2024-07-11 19:10:29,human,UL,2024-03-08 19:30:00
LogicForest,2.1.1,2024-07-11 19:10:29,human,UL,2024-03-12 18:34:00
NMsim,0.1.2,2024-07-11 19:10:29,pending,NA,2024-07-09 21:24:00
ORIONZ.G,1.0.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 14:57:00
PubChemR,2.0,2024-07-11 19:10:29,pretest,NA,2024-07-11 16:26:00
QRAGadget,0.3.1,2024-07-11 19:10:29,waiting,NA,2024-07-09 03:35:00
RcppPlanc,1.0.0,2024-07-11 19:10:29,human,UL,2024-02-23 14:55:00
Rfast,2.0.8,2024-07-11 19:10:29,human,UL,2023-06-25
SCIntRuler,0.99.6,2024-07-11 19:10:29,newbies,NA,2024-07-11 08:58:00
SmithWilsonYieldCurve,1.1.1,2024-07-11 19:10:29,newbies,NA,2024-07-11 09:02:00
SparseM,1.84-1,2024-07-11 19:10:29,pending,NA,2024-07-11 09:17:00
SubgrpID,0.11,2024-07-11 19:10:29,human,UL,2024-01-17 23:51:00
SuperCell,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 18:01:00
VIGoR,1.1.4,2024-07-11 19:10:29,human,UL,2024-05-28 12:39:00
WASP,1.4.4,2024-07-11 19:10:29,inspect,NA,2024-07-10 12:15:00
WES,1.0.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 04:43:00
WeibullR.shiny,0.2.1,2024-07-11 19:10:29,waiting,NA,2024-07-11 16:05:00
adbcpostgresql,0.8.0,2024-07-11 19:10:29,human,UL,2023-11-10
animint2,2023.3.10,2024-07-11 19:10:29,human,UL,2023-03-12
barrks,1.0.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 12:22:00
baseflow,0.14.2,2024-07-11 19:10:29,waiting,NA,2024-07-08 11:24:00
blockcluster,4.5.5,2024-07-11 19:10:29,human,UL,2024-02-23 14:08:00
cargo,0.3.12,2024-07-11 19:10:29,human,UL,2022-09-28
cgalMeshes,2.2.0,2024-07-11 19:10:29,human,UL,2023-06-24
climate,1.1.0,2024-07-11 19:10:29,human,UL,2022-10-12
closeloop,0.1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 08:40:00
clpAPI,1.3.2,2024-07-11 19:10:29,human,UL,2022-10-21
coala,0.7.1,2024-07-11 19:10:29,human,UL,2022-12-30
connections,0.1.1,2024-07-11 19:10:29,human,UL,2023-12-16
cplexAPI,1.5.1,2024-07-11 19:10:29,human,UL,2022-10-21
cubble,0.3.2,2024-07-11 19:10:29,waiting,NA,2024-07-07 18:56:00
databraryr,0.6.6,2024-07-11 19:10:29,pending,NA,2024-07-09 17:04:00
deseats,1.1.0,2024-07-11 19:10:29,inspect,NA,2024-07-10 13:18:00
docket,1.33,2024-07-11 19:10:29,newbies,NA,2024-07-10 22:49:00
dodgr,0.2.21,2024-07-11 19:10:29,human,UL,2023-06-01
drglm,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 16:35:00
et.nwfva,0.1.1,2024-07-11 19:10:29,human,UL,2022-11-22
factset.protobuf.stachextensions,1.0.2,2024-07-11 19:10:29,human,UL,2022-11-18
fdaPDE,1.1-19,2024-07-11 19:10:29,pending,NA,2024-07-11 16:03:00
fitdistrplus,1.2-1,2024-07-11 19:10:29,waiting,NA,2024-07-11 14:50:00
fritools,4.0.0,2024-07-11 19:10:29,human,UL,2022-10-12
gdalBindings,0.1.23,2024-07-11 19:10:29,human,UL,2024-04-22 15:20:00
gdalraster,1.0.0,2024-07-11 19:10:29,human,UL,2023-05-05
gifski,1.12.0-2,2024-07-11 19:10:29,human,UL,2023-08-09
governor,0.1.2,2024-07-11 19:10:29,newbies,NA,2024-07-11 10:05:00
htrSPRanalysis,0.1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 23:48:00
hydroPSO,0.5-15,2024-07-11 19:10:29,newbies,NA,2024-07-11 10:11:00
imanr,1.0.2,2024-07-11 19:10:29,human,UL,2024-06-19 13:02:00
infiltrodiscR,0.0.4,2024-07-11 19:10:29,newbies,NA,2024-07-11 03:08:00
kpcaIG,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 18:22:00
luajr,0.1.6,2024-07-11 19:10:29,human,UL,2024-02-23 12:31:00
mMARCH.AC,2.9.2.0,2024-07-11 19:10:29,human,UL,2023-07-07
manynet,1.0.1,2024-07-11 19:10:29,waiting,NA,2024-07-08 20:54:00
mdsdt,1.3,2024-07-11 19:10:29,human,UL,2023-10-15
mergenstudio,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 13:37:00
mig,1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 15:04:00
moderate.mediation,0.0.7,2024-07-11 19:10:29,human,UL,2023-11-27
modisfast,0.9.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 16:10:00
mstate,0.3.3,2024-07-11 19:10:29,waiting,NA,2024-07-10 18:17:00
pretest,0.2,2024-07-11 19:10:29,human,UL,2023-10-16
refseqR,1.1.2,2024-07-11 19:10:29,pending,NA,2024-07-10 14:32:00
sampcompR,0.2.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 10:28:00
sccore,1.0.3,2024-07-11 19:10:29,human,UL,2023-03-12
sdtmchecks,1.0.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 03:35:00
simpleboot,1.1-8,2024-07-11 19:10:29,waiting,NA,2024-07-11 14:25:00
sox,1.2,2024-07-11 19:10:29,pending,NA,2024-07-10 18:08:00
spatstat.geom,3.3-2,2024-07-11 19:10:29,waiting,NA,2024-07-09 10:31:00
tenm,0.5.0,2024-07-11 19:10:29,newbies,NA,2024-07-11 02:20:00
tictoc,1.2,2024-07-11 19:10:29,human,UL,2024-02-22 10:15:00
tidygate,1.0.13,2024-07-11 19:10:29,newbies,NA,2024-07-11 02:18:00
vivid,0.2.6,2024-07-11 19:10:29,human,UL,2023-04-03
vol2birdR,1.0.3,2024-07-11 19:10:29,newbies,NA,2024-07-10 23:09:00
zippeR,0.1.0,2024-07-11 19:10:29,newbies,NA,2024-07-10 19:11:00
