package,version,snapshot_time,folder,subfolder
acled.api,1.0.9,2021-01-04 15:21:05,inspect,NA
arabic2kansuji,0.1.0,2021-01-04 15:21:05,newbies,NA
aroma.core,3.2.2,2021-01-04 15:21:05,pretest,NA
baseflow,0.12.2,2021-01-04 15:21:05,inspect,NA
BED,1.4.3,2021-01-04 15:21:05,newbies,NA
catch,1.0.1,2021-01-04 15:21:05,pretest,NA
causalCmprsk,1.0.1,2021-01-04 15:21:05,pretest,NA
cglasso,2.0.0,2021-01-04 15:21:05,inspect,NA
cld3,1.4,2021-01-04 15:21:05,pretest,NA
collapse,1.5.0,2021-01-04 15:21:05,pretest,NA
cragg,0.0.1,2021-01-04 15:21:05,newbies,NA
Crossover,0.1-19,2021-01-04 15:21:05,newbies,NA
cspp,0.3.1,2021-01-04 15:21:05,pretest,NA
DBI,1.1.1,2021-01-04 15:21:05,pretest,NA
disastr.api,1.0.1,2021-01-04 15:21:05,newbies,NA
doFuture,0.12.0,2021-01-04 15:21:05,pretest,NA
drake,7.13.0,2021-01-04 15:21:05,pretest,NA
eaf,2.0,2021-01-04 15:21:05,pretest,NA
eatRep,0.13.4,2021-01-04 15:21:05,pretest,NA
EMDSVRhybrid,0.1.0,2021-01-04 15:21:05,pretest,NA
ethnobotanyR,0.1.8,2021-01-04 15:21:05,pretest,NA
EValue,4.1.1,2021-01-04 15:21:05,pretest,NA
excelstrippr,0.1.1,2021-01-04 15:21:05,pretest,NA
future.apply,1.7.0,2021-01-04 15:21:05,pretest,NA
future.BatchJobs,0.17.0,2021-01-04 15:21:05,pretest,NA
future.batchtools,0.10.0,2021-01-04 15:21:05,pretest,NA
future.callr,0.6.0,2021-01-04 15:21:05,pretest,NA
FuzzyQ,0.1.0,2021-01-04 15:21:05,newbies,NA
fwstability,1.0.0,2021-01-04 15:21:05,pretest,NA
GeneCycle,1.1.5,2021-01-04 15:21:05,pretest,NA
geos,0.0.2,2021-01-04 15:21:05,pretest,NA
geostats,1.0,2021-01-04 15:21:05,newbies,NA
ggmulti,0.1.0,2021-01-04 15:21:05,pretest,NA
ggspatial,1.1.5,2021-01-04 15:21:05,pretest,NA
ggvenn,0.1.7,2021-01-04 15:21:05,pretest,NA
HardyWeinberg,1.7.1,2021-01-04 15:21:05,pretest,NA
HiClimR,2.1.8,2021-01-04 15:21:05,pretest,NA
IMIFA,2.1.5,2021-01-04 15:21:05,pretest,NA
its.analysis,1.6.0,2021-01-04 15:21:05,pretest,NA
janitor,2.1.0,2021-01-04 15:21:05,pretest,NA
jfa,0.5.0,2021-01-04 15:21:05,pretest,NA
lfe,2.8-6,2021-01-04 15:21:05,newbies,NA
libproj,7.1.0-3,2021-01-04 15:21:05,pending,NA
libproj,7.2.0-1,2021-01-04 15:21:05,pretest,NA
lidR,3.1.0,2021-01-04 15:21:05,pretest,NA
log,1.1.0,2021-01-04 15:21:05,newbies,NA
Matrix,1.3-1,2021-01-04 15:21:05,waiting,NA
mecor,0.9.0,2021-01-04 15:21:05,newbies,NA
mgss,1.0,2021-01-04 15:21:05,pretest,NA
mlma,6.0-1,2021-01-04 15:21:05,pretest,NA
NACHO,1.0.2,2021-01-04 15:21:05,inspect,NA
nardl,0.1.6,2021-01-04 15:21:05,inspect,NA
NFCPM,0.1.0,2021-01-04 15:21:05,newbies,NA
officer,0.3.16,2021-01-04 15:21:05,waiting,NA
otpr,0.5.0,2021-01-04 15:21:05,pretest,NA
parallelly,1.23.0,2021-01-04 15:21:05,pretest,NA
phangorn,2.6.1,2021-01-04 15:21:05,waiting,NA
pkgnews,0.0.1,2021-01-04 15:21:05,newbies,NA
popsom,5.1,2021-01-04 15:21:05,pretest,NA
proceduralnames,0.1.0,2021-01-04 15:21:05,pretest,NA
proffer,0.1.1,2021-01-04 15:21:05,pretest,NA
ProSGPV,0.1.0,2021-01-04 15:21:05,pretest,NA
QuadRoot,0.1.0,2021-01-04 15:21:05,pretest,NA
r2dii.match,0.0.8,2021-01-04 15:21:05,pretest,NA
ragg,0.4.1,2021-01-04 15:21:05,pretest,NA
rEDM,1.7.3,2021-01-04 15:21:05,pretest,NA
restatapi,0.9.8,2021-01-04 15:21:05,inspect,NA
RestRserve,0.4.1,2021-01-04 15:21:05,pretest,NA
rfacebookstat,2.2.1,2021-01-04 15:21:05,inspect,NA
rfacebookstat,2.2.2,2021-01-04 15:21:05,pretest,NA
rfacts,0.1.0,2021-01-04 15:21:05,pretest,NA
robustbase,0.93-7,2021-01-04 15:21:05,recheck,NA
s2,1.0.4,2021-01-04 15:21:05,pretest,NA
SAMTx,0.1.0,2021-01-04 15:21:05,pretest,NA
scrappy,0.0.1,2021-01-04 15:21:05,newbies,NA
sfdct,0.1.0,2021-01-04 15:21:05,waiting,NA
SimVitD,1.0,2021-01-04 15:21:05,pretest,NA
slackr,2.0.1,2021-01-04 15:21:05,waiting,NA
smartsizer,1.0.2,2021-01-04 15:21:05,pretest,NA
stockfish,0.1.1,2021-01-04 15:21:05,pretest,NA
terra,1.0-7,2021-01-04 15:21:05,pretest,NA
TULIP,1.0.2,2021-01-04 15:21:05,pretest,NA
vectorwavelet,0.1.0,2021-01-04 15:21:05,newbies,NA
wkutils,0.1.1,2021-01-04 15:21:05,pretest,NA
WSGeometry,1.0,2021-01-04 15:21:05,pretest,NA
