"","subfolder","snapshot_time","year","time","package","version","submission_time","howlongago","folder"
"52",NA,2020-09-12 20:11:45,"2020","22:04","SE.EQ","1.0",2020-09-10 20:04:00,2,"newbies"
"53",NA,2020-09-12 20:11:45,"2020","21:07","befproj","0.1.1",2020-09-10 19:07:00,2,"newbies"
"54",NA,2020-09-12 20:11:45,"2020","22:54","bmgarch","1.0.0",2020-09-10 20:54:00,2,"newbies"
"55",NA,2020-09-12 20:11:45,"2020","20:13","condTruncMVN","0.0.2",2020-09-10 18:13:00,2.1,"newbies"
"56",NA,2020-09-12 20:11:45,"2020","19:22","glvmfit","0.0.0",2020-09-10 17:22:00,2.1,"newbies"
"57",NA,2020-09-12 20:11:45,"2020","19:20","inldata","1.0.3",2020-09-10 17:20:00,2.1,"newbies"
"58",NA,2020-09-12 20:11:45,"2020","20:35","simfinapi","0.1.0",2020-09-10 18:35:00,2.1,"newbies"
"59",NA,2020-09-12 20:11:45,"2020","19:34","weibull4","0.1.0",2020-09-10 17:34:00,2.1,"newbies"
"60",NA,2020-09-12 20:11:45,"2020","18:31","ACEsearch","1.0.0",2020-09-10 16:31:00,2.2,"newbies"
"61",NA,2020-09-12 20:11:45,"2020","17:00","GenHMM1d","0.1.0",2020-09-10 15:00:00,2.2,"newbies"
"62",NA,2020-09-12 20:11:45,"2020","18:02","MAPITR","1.0.5",2020-09-10 16:02:00,2.2,"newbies"
"63",NA,2020-09-12 20:11:45,"2020","16:49","SLTCA","0.1.0",2020-09-10 14:49:00,2.2,"newbies"
"64",NA,2020-09-12 20:11:45,"2020","16:44","mlr3hyperband","0.1.0",2020-09-10 14:44:00,2.2,"newbies"
"65",NA,2020-09-12 20:11:45,"2020","17:12","survivalMPLdc","0.1.0",2020-09-10 15:12:00,2.2,"newbies"
"66",NA,2020-09-12 20:11:45,"2020","16:54","waves","0.1.0",2020-09-10 14:54:00,2.2,"newbies"
"67",NA,2020-09-12 20:11:45,"2020","13:54","LimnoPalettes","0.1.0",2020-09-10 11:54:00,2.3,"newbies"
"68",NA,2020-09-12 20:11:45,"2020","14:11","cmsafops","1.0.0",2020-09-10 12:11:00,2.3,"newbies"
"69",NA,2020-09-12 20:11:45,"2020","16:02","dfrr","0.1.4",2020-09-10 14:02:00,2.3,"newbies"
"70",NA,2020-09-12 20:11:45,"2020","11:55","EDNE.EQ","1.0",2020-09-10 09:55:00,2.4,"newbies"
"71",NA,2020-09-12 20:11:45,"2020","12:51","eatTools","0.3.6",2020-09-10 10:51:00,2.4,"newbies"
"72",NA,2020-09-12 20:11:45,"2020","10:21","contactdata","0.1",2020-09-10 08:21:00,2.5,"newbies"
"73",NA,2020-09-12 20:11:45,"2020","10:51","medrxivr","0.0.3",2020-09-10 08:51:00,2.5,"newbies"
"74",NA,2020-09-12 20:11:45,"2020","07:34","keyToEnglish","0.1.0",2020-09-10 05:34:00,2.6,"newbies"
"75",NA,2020-09-12 20:11:45,"2020","23:56","PAMmisc","1.6.1",2020-09-09 21:56:00,2.9,"newbies"
"76",NA,2020-09-12 20:11:45,"2020","23:10","gde","0.1.4",2020-09-09 21:10:00,3,"newbies"
"77",NA,2020-09-12 20:11:45,"2020","19:43","PBIR","0.1-0",2020-09-09 17:43:00,3.1,"newbies"
"78",NA,2020-09-12 20:11:45,"2020","17:01","DynComm","2020.1.5",2020-09-09 15:01:00,3.2,"newbies"
"79",NA,2020-09-12 20:11:45,"2020","17:33","eiCompare","3.0.0",2020-09-09 15:33:00,3.2,"newbies"
"80",NA,2020-09-12 20:11:45,"2020","17:34","mvGPS","1.0.2",2020-09-09 15:34:00,3.2,"newbies"
"81",NA,2020-09-12 20:11:45,"2020","15:24","IRTBEMM","1.0.4",2020-09-09 13:24:00,3.3,"newbies"
"82",NA,2020-09-12 20:11:45,"2020","14:41","fairsubset","1.0",2020-09-09 12:41:00,3.3,"newbies"
