package,version,snapshot_time,folder,subfolder,submission_time
ActisoftR,0.0.2,2026-04-22 17:58:27.335965,human,UL,2024-09-11
BiasedUrn,2.0.12,2026-04-22 17:58:27.335965,human,UL,2024-05-11
Colossus,1.5.1,2026-04-22 17:58:27.335965,pretest,NA,2026-04-22 17:54:00
DFA,1.0.0,2026-04-22 17:58:27.335965,human,UL,2024-02-17
DIDmultiplegtDYN,1.0.3,2026-04-22 17:58:27.335965,human,UL,2024-02-22
DownBallotR,0.1.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 17:40:00
EpiNow2,1.3.3,2026-04-22 17:58:27.335965,human,UL,2022-11-01
FLAG,0.1,2026-04-22 17:58:27.335965,human,UL,2025-03-31
FWDselect,2.1.1,2026-04-22 17:58:27.335965,waiting,NA,2026-04-22 12:51:00
InfluenceBorrowing,0.1.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 17:13:00
JRF,0.1-4,2026-04-22 17:58:27.335965,human,UL,2016-10-25
LogicForest,2.1.0,2026-04-22 17:58:27.335965,human,UL,2024-03-08
LogicForest,2.1.1,2026-04-22 17:58:27.335965,human,UL,2024-03-12
MCseqReplic,1.0.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 16:22:00
ParamANOVA,0.1.4,2026-04-22 17:58:27.335965,waiting,NA,2026-04-17 11:23:00
RMSTpowerBoost,1.0.3,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 16:10:00
Rfast,2.0.8,2026-04-22 17:58:27.335965,human,UL,2023-06-25
Rmpi,0.7-3.4,2026-04-22 17:58:27.335965,recheck,NA,2026-04-22 17:33:00
RoME,0.2.3,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 15:51:00
SubgrpID,0.11,2026-04-22 17:58:27.335965,human,UL,2024-01-17
TreatmentPatterns,2.6.8,2026-04-22 17:58:27.335965,human,UL,2024-08-23
TreeTools,2.3.0,2026-04-22 17:58:27.335965,waiting,NA,2026-04-22 14:47:00
VFP,1.4.3,2026-04-22 17:58:27.335965,human,UL,2025-01-23
VIGoR,1.1.4,2026-04-22 17:58:27.335965,human,UL,2024-05-28
adbcpostgresql,0.8.0,2026-04-22 17:58:27.335965,human,UL,2023-11-10
animint2,2023.3.10,2026-04-22 17:58:27.335965,human,UL,2023-03-12
babebi,0.1.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 16:43:00
backtestGraphics,0.1.6,2026-04-22 17:58:27.335965,human,UL,2024-12-20
blockcluster,4.5.5,2026-04-22 17:58:27.335965,human,UL,2024-02-23
cargo,0.3.12,2026-04-22 17:58:27.335965,human,UL,2022-09-28
cgalMeshes,2.2.0,2026-04-22 17:58:27.335965,human,UL,2023-06-24
climate,1.1.0,2026-04-22 17:58:27.335965,human,UL,2022-10-12
clpAPI,1.3.2,2026-04-22 17:58:27.335965,human,UL,2022-10-21
coala,0.7.1,2026-04-22 17:58:27.335965,human,UL,2022-12-30
connections,0.1.1,2026-04-22 17:58:27.335965,human,UL,2023-12-16
cplexAPI,1.5.1,2026-04-22 17:58:27.335965,human,UL,2022-10-21
distilleR,1.0.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 15:58:00
diversedata,1.0.1,2026-04-22 17:58:27.335965,human,UL,2025-09-23
dodgr,0.2.21,2026-04-22 17:58:27.335965,human,UL,2023-06-01
dynasim,1.1,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 16:42:00
ebdm,3.0.1,2026-04-22 17:58:27.335965,waiting,NA,2026-04-21 13:37:00
eppoFindeR,2.0.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 15:57:00
et.nwfva,0.1.1,2026-04-22 17:58:27.335965,human,UL,2022-11-22
evalHTE,0.1.0,2026-04-22 17:58:27.335965,human,UL,2026-01-18 03:19:00
evenBreak,1.0,2026-04-22 17:58:27.335965,human,UL,2024-10-07
factset.protobuf.stachextensions,1.0.2,2026-04-22 17:58:27.335965,human,UL,2022-11-18
fastDummies,1.7.6,2026-04-22 17:58:27.335965,recheck,NA,2026-04-22 17:26:00
fdclassify,0.1.0,2026-04-22 17:58:27.335965,newbies,NA,2026-04-22 16:56:00
fracARMA,0.1.0,2026-04-22 17:58:27.335965,human,UL,2025-02-13
fritools,4.0.0,2026-04-22 17:58:27.335965,human,UL,2022-10-12
gdalBindings,0.1.23,2026-04-22 17:58:27.335965,human,UL,2024-04-22
gdalraster,1.0.0,2026-04-22 17:58:27.335965,human,UL,2023-05-05
gek,1.2.0,2026-04-22 17:58:27.335965,human,UL,2025-09-04
