package,version,snapshot_time,folder,subfolder,submission_time
APS,1.0.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 16:01:00
ActisoftR,0.0.2,2026-04-15 19:56:18.139714,human,UL,2024-09-11
AntsNet,1.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-12 03:26:00
Application,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-14 15:04:00
BRRAT,0.0.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-14 10:19:00
BayesRE,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 12:07:00
BayesianDEB,0.1.3,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 19:56:00
BayesianQDM,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 08:57:00
BiasedUrn,2.0.12,2026-04-15 19:56:18.139714,human,UL,2024-05-11
BoundIRT,0.0.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 12:32:00
CohortContrast,1.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 17:26:00
DFA,1.0.0,2026-04-15 19:56:18.139714,human,UL,2024-02-17
DIDmultiplegtDYN,1.0.3,2026-04-15 19:56:18.139714,human,UL,2024-02-22
DecisionDrift,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 00:03:00
EpiNow2,1.3.3,2026-04-15 19:56:18.139714,human,UL,2022-11-01
FLAG,0.1,2026-04-15 19:56:18.139714,human,UL,2025-03-31
FoRecoML,1.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-14 21:07:00
GBASS,2.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 22:15:00
GWnorm,1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 11:24:00
GeNetIt,0.1-7,2026-04-15 19:56:18.139714,waiting,NA,2026-04-14 00:56:00
IOBR,2.2.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 12:46:00
JRF,0.1-4,2026-04-15 19:56:18.139714,human,UL,2016-10-25
KRONX,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-14 10:58:00
LPStimeSeries,1.1-0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-12 10:35:00
LeaveOutKSS,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-11 10:35:00
LogicForest,2.1.0,2026-04-15 19:56:18.139714,human,UL,2024-03-08
LogicForest,2.1.1,2026-04-15 19:56:18.139714,human,UL,2024-03-12
MRIreduce,1.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 10:30:00
ModRare,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 21:21:00
NRMSampling,0.2.2,2026-04-15 19:56:18.139714,newbies,NA,2026-04-15 14:09:00
OdysseusCharacterizationModule,0.0.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 14:18:00
OdysseusPathwayModule,0.0.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-11 11:40:00
OnlineSurr,0.0.3,2026-04-15 19:56:18.139714,newbies,NA,2026-04-15 09:35:00
OofAExp,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 14:52:00
OptSurvCutR,0.2.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 17:01:00
QuickExplore,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 12:31:00
RITCH,0.1.29,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 21:31:00
Rfast,2.0.8,2026-04-15 19:56:18.139714,human,UL,2023-06-25
RobustMediate,0.1.1,2026-04-15 19:56:18.139714,newbies,NA,2026-04-09 18:51:00
SDI,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-12 17:00:00
SQIpro,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 12:01:00
SamsaRaLight,1.0.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 15:07:00
SmoothPLS,0.1.5,2026-04-15 19:56:18.139714,newbies,NA,2026-04-13 17:20:00
SubgrpID,0.11,2026-04-15 19:56:18.139714,human,UL,2024-01-17
TreatmentPatterns,2.6.8,2026-04-15 19:56:18.139714,human,UL,2024-08-23
TwoStepSDFM,0.2.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 14:40:00
VFP,1.4.3,2026-04-15 19:56:18.139714,human,UL,2025-01-23
VIGoR,1.1.4,2026-04-15 19:56:18.139714,human,UL,2024-05-28
abba,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-15 15:20:00
adbcpostgresql,0.8.0,2026-04-15 19:56:18.139714,human,UL,2023-11-10
adjoin,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 14:38:00
agriDQ,0.1.3,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 11:08:00
amp.sim,0.1.0,2026-04-15 19:56:18.139714,newbies,NA,2026-04-10 11:33:00
animint2,2023.3.10,2026-04-15 19:56:18.139714,human,UL,2023-03-12
backtestGraphics,0.1.6,2026-04-15 19:56:18.139714,human,UL,2024-12-20
