package,version,snapshot_time,folder,subfolder
adjclust,0.6.3,2021-07-26 19:22:16,pretest,NA
auditor,1.3.3,2021-07-26 19:22:16,pretest,NA
biClassify,1.1,2021-07-26 19:22:16,pending,NA
BIRDS,0.2.1,2021-07-26 19:22:16,pending,NA
blockcluster,4.5.1,2021-07-26 19:22:16,pending,NA
changepointTests,0.1.1,2021-07-26 19:22:16,newbies,NA
cld3,1.4.2,2021-07-26 19:22:16,pending,NA
clusrank,1.0-1,2021-07-26 19:22:16,waiting,NA
deepNN,1.1,2021-07-26 19:22:16,waiting,NA
DSSAT,0.0.3,2021-07-26 19:22:16,pretest,NA
e1071,1.7-8,2021-07-26 19:22:16,pretest,NA
ecochange,2.0,2021-07-26 19:22:16,pending,NA
ergm,4.1.2,2021-07-26 19:22:16,pending,NA
fastai,2.0.9,2021-07-26 19:22:16,inspect,NA
findInGit,0.1.0,2021-07-26 19:22:16,newbies,NA
GeoTcgaData,1.0.0.1,2021-07-26 19:22:16,pretest,NA
glmmTMB,1.1.2.1,2021-07-26 19:22:16,pending,NA
grpreg,3.4.0,2021-07-26 19:22:16,pretest,NA
grpreg,3.4.0,2021-07-26 19:22:16,waiting,NA
individual,0.1.4,2021-07-26 19:22:16,pending,NA
ipeadatar,0.1.4,2021-07-26 19:22:16,pending,NA
LFApp,1.2,2021-07-26 19:22:16,newbies,NA
MatrixExtra,0.1.6,2021-07-26 19:22:16,pretest,NA
matrixStats,0.60.0,2021-07-26 19:22:16,pretest,NA
maxLik,1.5-0,2021-07-26 19:22:16,waiting,NA
maxLik,1.5-2,2021-07-26 19:22:16,publish,NA
mcboost,0.3.3.0,2021-07-26 19:22:16,pending,NA
MedianaDesigner,0.2.2,2021-07-26 19:22:16,pending,NA
MFPCA,1.3-7,2021-07-26 19:22:16,pending,NA
profoc,0.8.0,2021-07-26 19:22:16,newbies,NA
protolite,2.1.1,2021-07-26 19:22:16,pending,NA
rankUncertainty,1.0.1.0,2021-07-26 19:22:16,pending,NA
rbedrock,0.1.1,2021-07-26 19:22:16,pending,NA
rebmix,2.13.1,2021-07-26 19:22:16,pending,NA
Revticulate,0.1.0,2021-07-26 19:22:16,pretest,NA
Rfmtool,4.1.4,2021-07-26 19:22:16,pending,NA
rKOMICS,1.2,2021-07-26 19:22:16,waiting,NA
stringx,0.1.1,2021-07-26 19:22:16,newbies,NA
tidysq,1.1.2-1,2021-07-26 19:22:16,pending,NA
