package,version,snapshot_time,folder,subfolder,submission_time
altdoc,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 12:16:00
argus,0.1,2022-08-10 00:21:17,newbies,NA,2022-08-09 18:39:00
atpolR,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 22:01:00
bigmatch,0.6.4,2022-08-10 00:21:17,pending,NA,2022-08-07 15:45:00
binspp,0.1.22,2022-08-10 00:21:17,waiting,NA,2022-08-09 16:41:00
blockcpd,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 01:23:00
bondAnalyst,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 17:27:00
brassica,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 20:53:00
cargo,0.3.0,2022-08-10 00:21:17,inspect,NA,2022-08-05 13:50:00
cbioportalR,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 15:34:00
CINE,0.1.3,2022-08-10 00:21:17,newbies,NA,2022-08-09 04:42:00
cito,1.0.0,2022-08-10 00:21:17,waiting,NA,2022-07-25 10:04:00
CohensdpLibrary,0.5.2,2022-08-10 00:21:17,newbies,NA,2022-08-06 15:40:00
compareMCMCs,0.5.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 22:17:00
copre,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 21:48:00
corTESTsrd,0.9-1,2022-08-10 00:21:17,newbies,NA,2022-08-08 14:53:00
covid19us,0.1.9,2022-08-10 00:21:17,waiting,NA,2022-08-05 16:25:00
covKCD,0.1,2022-08-10 00:21:17,newbies,NA,2022-08-05 17:08:00
CSCNet,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 21:39:00
CSHShydRology,1.2.2,2022-08-10 00:21:17,waiting,NA,2022-08-05 16:48:00
ctmva,1.0,2022-08-10 00:21:17,newbies,NA,2022-08-06 01:12:00
cvsem,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 22:22:00
Cyclops,3.2.1,2022-08-10 00:21:17,pending,NA,2022-08-08 15:13:00
dataset,0.1.6,2022-08-10 00:21:17,newbies,NA,2022-08-07 09:20:00
dcifer,1.1.1,2022-08-10 00:21:17,pending,NA,2022-08-09 08:27:00
digiRhythm,1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 00:39:00
dirttee,1.0,2022-08-10 00:21:17,newbies,NA,2022-08-06 10:58:00
dispeRse,1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 14:07:00
dyntaper,1.1,2022-08-10 00:21:17,newbies,NA,2022-08-06 00:19:00
effectsize,0.7.0.5,2022-08-10 00:21:17,waiting,NA,2022-08-08 11:32:00
elfgen,2.3.1,2022-08-10 00:21:17,newbies,NA,2022-08-08 15:09:00
elfgen,2.3.2,2022-08-10 00:21:17,newbies,NA,2022-08-09 22:59:00
EMAS,0.2.2,2022-08-10 00:21:17,inspect,NA,2022-08-09 17:21:00
EpiSemble,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 11:37:00
epitopR,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 16:34:00
eyelinkReader,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-06 10:45:00
fastGLCM,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 21:56:00
fastmatrix,0.4-124,2022-08-10 00:21:17,pending,NA,2022-08-09 16:40:00
func2vis,1.0-2,2022-08-10 00:21:17,waiting,NA,2022-08-09 23:47:00
gena,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 17:06:00
geneHapR,1.0.6,2022-08-10 00:21:17,newbies,NA,2022-08-07 06:46:00
genieBPC,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 15:56:00
ggDoE,0.7.6,2022-08-10 00:21:17,newbies,NA,2022-08-06 00:03:00
GGIRread,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 16:43:00
gimme,0.7-8,2022-08-10 00:21:17,pretest,NA,2022-08-10 00:16:00
gmp,0.6-6,2022-08-10 00:21:17,waiting,NA,2022-08-08 10:28:00
gmwmx,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 15:30:00
gsalib,2.2.1,2022-08-10 00:21:17,newbies,NA,2022-08-09 19:40:00
gtreg,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 21:09:00
h3,3.7.2,2022-08-10 00:21:17,newbies,NA,2022-08-07 10:15:00
html5,1.0.1,2022-08-10 00:21:17,recheck,NA,2022-08-10 00:11:00
huito,0.2.1,2022-08-10 00:21:17,waiting,NA,2022-08-09 18:54:00
iapws,0.7,2022-08-10 00:21:17,newbies,NA,2022-08-05 23:34:00
insectDisease,1.2.1,2022-08-10 00:21:17,newbies,NA,2022-08-09 19:49:00
insight,0.18.1,2022-08-10 00:21:17,waiting,NA,2022-08-05 12:58:00
InteractionPoweR,0.1.1,2022-08-10 00:21:17,newbies,NA,2022-08-05 21:48:00
IPEDS,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 09:12:00
JSparO,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-06 18:43:00
kernelshap,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 21:40:00
ktweedie,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 20:37:00
labdance,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 14:36:00
marp,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 07:08:00
mets,1.3.0,2022-08-10 00:21:17,waiting,NA,2022-08-06 20:13:00
mlim,0.0.1,2022-08-10 00:21:17,newbies,NA,2022-08-05 15:11:00
mMARCH.AC,2.4.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 16:31:00
modulr,0.8.0,2022-08-10 00:21:17,newbies,NA,2022-08-06 19:45:00
name,0.0.1,2022-08-10 00:21:17,newbies,NA,2022-08-06 20:39:00
naptanr,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 17:55:00
ndi,0.0.1,2022-08-10 00:21:17,newbies,NA,2022-08-05 15:09:00
NestedMenu,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 17:42:00
nhdR,0.5.8,2022-08-10 00:21:17,waiting,NA,2022-08-06 00:13:00
nser,1.4.3,2022-08-10 00:21:17,newbies,NA,2022-08-09 19:09:00
opefimor,1.2.1,2022-08-10 00:21:17,newbies,NA,2022-08-08 17:06:00
ordr,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 14:14:00
OSLdecomposition,1.0.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 20:51:00
pbr,0.0.1,2022-08-10 00:21:17,newbies,NA,2022-08-08 17:09:00
PDFEstimator,4.1,2022-08-10 00:21:17,pending,NA,2022-08-09 16:50:00
pell,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 23:33:00
peramo,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-05 20:17:00
PleistoDist,1.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-07 20:30:00
posterior,1.3.0,2022-08-10 00:21:17,waiting,NA,2022-08-08 18:04:00
pow.int,1.0,2022-08-10 00:21:17,newbies,NA,2022-08-09 23:05:00
powerbiR,0.1.0,2022-08-10 00:21:17,newbies,NA,2022-08-08 12:10:00
prioriactions,0.4.1,2022-08-10 00:21:17,waiting,NA,2022-08-08 18:14:00
RaceID,0.2.5,2022-08-10 00:21:17,inspect,NA,2022-08-09 23:06:00
RandomFields,3.3.18,2022-08-10 00:21:17,human,UL,2022-05-04 20:17:00
RandomFieldsUtils,1.2.6,2022-08-10 00:21:17,human,UL,2022-05-04 20:06:00
raster,3.5-24,2022-08-10 00:21:17,waiting,NA,2022-08-06 08:21:00
raster,3.5-25,2022-08-10 00:21:17,waiting,NA,2022-08-08 09:35:00
readSX,0.8.1,2022-08-10 00:21:17,newbies,NA,2022-08-06 00:20:00
RGBM,1.0-9,2022-08-10 00:21:17,inspect,NA,2022-08-09 23:45:00
ridigbio,0.3.6,2022-08-10 00:21:17,waiting,NA,2022-08-09 19:13:00
