package,version,snapshot_time,folder,subfolder
BayesOrdDesign,0.1.0,2021-09-21 15:26:08,human,JH
BayesSenMC,0.1.4,2021-09-21 15:26:08,newbies,NA
bpr,1.0.4,2021-09-21 15:26:08,newbies,NA
catchr,0.2.31,2021-09-21 15:26:08,inspect,NA
CEC,0.10.3,2021-09-21 15:26:08,newbies,NA
csodata,1.2.1,2021-09-21 15:26:08,newbies,NA
fda,5.3.0,2021-09-21 15:26:08,waiting,NA
isotracer,1.0.3,2021-09-21 15:26:08,newbies,NA
LDLcalc,1.0.0,2021-09-21 15:26:08,human,JH
MM4LMM,2.1.0,2021-09-21 15:26:08,waiting,NA
mwTensor,0.99.0,2021-09-21 15:26:08,newbies,NA
mwTensor,0.99.1,2021-09-21 15:26:08,inspect,NA
origin,0.5.2,2021-09-21 15:26:08,human,JH
psych,2.1.9,2021-09-21 15:26:08,waiting,NA
qra,0.2.0,2021-09-21 15:26:08,newbies,NA
qtl2pattern,1.0.16,2021-09-21 15:26:08,newbies,NA
RandomFieldsUtils,0.5.4,2021-09-21 15:26:08,waiting,NA
RcppCensSpatial,0.1.0,2021-09-21 15:26:08,human,JH
recmap,1.0.10,2021-09-21 15:26:08,inspect,NA
relevent,1.1,2021-09-21 15:26:08,waiting,NA
resevol,0.2.0.1,2021-09-21 15:26:08,pending,NA
rFerns,5.0.0,2021-09-21 15:26:08,pending,NA
RKorAPClient,0.7.1,2021-09-21 15:26:08,pretest,NA
RTL,0.1.8,2021-09-21 15:26:08,pretest,NA
scRNAstat,0.1.1,2021-09-21 15:26:08,newbies,NA
shiny,1.7.0,2021-09-21 15:26:08,waiting,NA
spatialRF,1.1.3,2021-09-21 15:26:08,newbies,NA
sqliteutils,0.1.0,2021-09-21 15:26:08,newbies,NA
SWTools,0.2.1.0,2021-09-21 15:26:08,human,UL
targets,0.8.0,2021-09-21 15:26:08,recheck,NA
TreeSearch,1.0.0,2021-09-21 15:26:08,pending,NA
XPolaris,1.0.2,2021-09-21 15:26:08,inspect,NA
