package,version,snapshot_time,folder,subfolder
aquodom,0.1.0,2021-05-04 18:36:22,inspect,NA
AssetCorr,1.0.4,2021-05-04 18:36:22,inspect,NA
autostsm,1.3,2021-05-04 18:36:22,publish,NA
av,0.6.0,2021-05-04 18:36:22,inspect,NA
BifactorIndicesCalculator,0.2.2,2021-05-04 18:36:22,inspect,NA
CALIBERrfimpute,1.0-5,2021-05-04 18:36:22,newbies,NA
CSIndicators,0.0.1,2021-05-04 18:36:22,newbies,NA
diathor,0.0.6,2021-05-04 18:36:22,inspect,NA
dplyr,1.0.6,2021-05-04 18:36:22,waiting,NA
eCAR,0.1.1,2021-05-04 18:36:22,inspect,NA
evclust,2.0.1,2021-05-04 18:36:22,waiting,NA
GeodesiCL,1.0.0,2021-05-04 18:36:22,waiting,NA
GeoFIS,1.0.1,2021-05-04 18:36:22,pending,NA
geouy,0.2.4,2021-05-04 18:36:22,inspect,NA
gluedown,1.0.4,2021-05-04 18:36:22,waiting,NA
Gmisc,2.0.2,2021-05-04 18:36:22,inspect,NA
greed,0.5.1,2021-05-04 18:36:22,pending,NA
hakaiApi,1.0.0,2021-05-04 18:36:22,pretest,NA
httk,2.0.4,2021-05-04 18:36:22,inspect,NA
ipeadatar,0.1.3,2021-05-04 18:36:22,waiting,NA
KernelKnn,1.1.2,2021-05-04 18:36:22,inspect,NA
meerva,0.2-1,2021-05-04 18:36:22,waiting,NA
MoBPS,1.6.38,2021-05-04 18:36:22,inspect,NA
modelimpact,1.0.0,2021-05-04 18:36:22,newbies,NA
MortalityEstimate,0.9.18,2021-05-04 18:36:22,inspect,NA
NHSDataDictionaRy,1.2.3,2021-05-04 18:36:22,newbies,NA
openCR,2.0.0,2021-05-04 18:36:22,waiting,NA
OpenImageR,1.1.8,2021-05-04 18:36:22,inspect,NA
PNSIBGE,0.1.3,2021-05-04 18:36:22,newbies,NA
proxyC,0.2.0,2021-05-04 18:36:22,waiting,NA
purgeR,1.1,2021-05-04 18:36:22,pending,NA
RavenR,2.0.7,2021-05-04 18:36:22,inspect,NA
re2,0.1.1,2021-05-04 18:36:22,pending,NA
redist,3.0.7,2021-05-04 18:36:22,pending,NA
rijkspalette,1.0.2,2021-05-04 18:36:22,inspect,NA
rNeighborGWAS,1.2.4,2021-05-04 18:36:22,pending,NA
rprev,1.0.5,2021-05-04 18:36:22,inspect,NA
RSiena,1.3.0,2021-05-04 18:36:22,pending,NA
secr,4.4.2,2021-05-04 18:36:22,inspect,NA
settings,0.2.6,2021-05-04 18:36:22,waiting,NA
spsComps,0.2,2021-05-04 18:36:22,inspect,NA
standartox,0.0.1,2021-05-04 18:36:22,newbies,NA
SubtypeDrug,0.1.5,2021-05-04 18:36:22,inspect,NA
SuperpixelImageSegmentation,1.0.4,2021-05-04 18:36:22,inspect,NA
tabula,1.6.0,2021-05-04 18:36:22,inspect,NA
tarchetypes,0.2.0,2021-05-04 18:36:22,inspect,NA
tesseract,4.1.1,2021-05-04 18:36:22,pending,NA
TopDom,0.10.1,2021-05-04 18:36:22,newbies,NA
ttt,1.0,2021-05-04 18:36:22,newbies,NA
vasicekreg,1.0.0,2021-05-04 18:36:22,newbies,NA
viridis,0.6.1,2021-05-04 18:36:22,inspect,NA
visachartR,1.0.2,2021-05-04 18:36:22,newbies,NA
wrappedtools,0.7.6,2021-05-04 18:36:22,newbies,NA
wsbackfit,1.0-5,2021-05-04 18:36:22,inspect,NA
