package,version,snapshot_time,folder,subfolder
appler,0.1.1,2021-05-21 09:17:30,pending,NA
autocart,1.4.5,2021-05-21 09:17:30,pending,NA
BIOMASS,2.1.5,2021-05-21 09:17:30,newbies,NA
brolgar,0.1.1,2021-05-21 09:17:30,inspect,NA
cit,2.3.0,2021-05-21 09:17:30,newbies,NA
cjbart,0.1.0,2021-05-21 09:17:30,newbies,NA
clifro,3.2-5,2021-05-21 09:17:30,inspect,NA
ClustImpute,0.2.3,2021-05-21 09:17:30,newbies,NA
colorhex,0.1.1,2021-05-21 09:17:30,newbies,NA
eff2,1.0.0,2021-05-21 09:17:30,newbies,NA
factiv,0.1.0,2021-05-21 09:17:30,human,JH
fdapace,0.5.7,2021-05-21 09:17:30,waiting,NA
febr,1.7.2,2021-05-21 09:17:30,human,JH
fitdistrplus,1.1-5,2021-05-21 09:17:30,waiting,NA
fracdist,0.1.0,2021-05-21 09:17:30,newbies,NA
GeodesiCL,1.0.0,2021-05-21 09:17:30,waiting,NA
GeoFIS,1.0.1,2021-05-21 09:17:30,pending,NA
ggseg3d,1.6.3,2021-05-21 09:17:30,newbies,NA
GPCMlasso,0.1-5,2021-05-21 09:17:30,pretest,NA
HDSpatialScan,20-05,2021-05-21 09:17:30,newbies,NA
hybridogram,0.3.2,2021-05-21 09:17:30,inspect,NA
idiogramFISH,2.0.5,2021-05-21 09:17:30,inspect,NA
insee,1.1.0,2021-05-21 09:17:30,inspect,NA
landmap,0.0.10,2021-05-21 09:17:30,inspect,NA
levitate,0.1.0,2021-05-21 09:17:30,newbies,NA
lomb,2.0,2021-05-21 09:17:30,waiting,NA
mashr,0.2.50,2021-05-21 09:17:30,inspect,NA
mind,0.1.0,2021-05-21 09:17:30,newbies,NA
mitre,1.0.0,2021-05-21 09:17:30,publish,NA
nimbleCarbon,0.1.0,2021-05-21 09:17:30,newbies,NA
OpenImageR,1.1.9,2021-05-21 09:17:30,recheck,NA
ParallelDSM,0.2.1,2021-05-21 09:17:30,waiting,NA
parameters,0.14.0,2021-05-21 09:17:30,waiting,NA
particle.swarm.optimisation,1.0,2021-05-21 09:17:30,human,JH
powerEQTL,0.3.0,2021-05-21 09:17:30,inspect,NA
ragg,1.1.3,2021-05-21 09:17:30,waiting,NA
RcppCGAL,5.2.1,2021-05-21 09:17:30,newbies,NA
reveneraR,0.1.0,2021-05-21 09:17:30,newbies,NA
RprobitB,0.1.1,2021-05-21 09:17:30,inspect,NA
Rwofost,0.8-2,2021-05-21 09:17:30,waiting,NA
seasonal,1.8.3,2021-05-21 09:17:30,pending,NA
sknifedatar,0.1.2,2021-05-21 09:17:30,pending,NA
sparklyr.sedona,0.1.0,2021-05-21 09:17:30,inspect,NA
SpATS,1.0-14,2021-05-21 09:17:30,waiting,NA
spectre,1.0.0,2021-05-21 09:17:30,newbies,NA
surveyvoi,1.0.1,2021-05-21 09:17:30,human,JH
trackr,0.10.7,2021-05-21 09:17:30,waiting,NA
unmarked,1.1.1,2021-05-21 09:17:30,pending,NA
voson.tcn,0.1.8,2021-05-21 09:17:30,newbies,NA
wallace,1.1.0,2021-05-21 09:17:30,inspect,NA
