package,version,snapshot_time,folder,subfolder
acled.api,1.0.5,2020-10-09 12:15:56,pending,NA
acumos,0.4-1,2020-10-09 12:15:56,waiting,NA
agtboost,0.9.1,2020-10-09 12:15:56,pending,NA
altmeta,3.2,2020-10-09 12:15:56,inspect,NA
anovir,0.1.0,2020-10-09 12:15:56,newbies,NA
anscombiser,1.0.0,2020-10-09 12:15:56,newbies,NA
APML,0.0.1,2020-10-09 12:15:56,newbies,NA
asymptor,0.1,2020-10-09 12:15:56,newbies,NA
autovarCore,1.0-6,2020-10-09 12:15:56,newbies,NA
bayesmove,0.1.0,2020-10-09 12:15:56,newbies,NA
BeastJar,1.10.5,2020-10-09 12:15:56,newbies,NA
BeastJar,1.10.5,2020-10-09 12:15:56,waiting,NA
BET,0.1.0,2020-10-09 12:15:56,newbies,NA
bggAnalytics,0.1.1,2020-10-09 12:15:56,newbies,NA
biogrowth,0.1.0,2020-10-09 12:15:56,newbies,NA
bRacatus,1.0.0,2020-10-09 12:15:56,newbies,NA
CompModels,0.1.0,2020-10-09 12:15:56,newbies,NA
comsimitv,0.1.3,2020-10-09 12:15:56,newbies,NA
cora,0.1.0,2020-10-09 12:15:56,newbies,NA
CTD,0.99.8,2020-10-09 12:15:56,newbies,NA
dadjoke,1.0,2020-10-09 12:15:56,newbies,NA
deepredeff,0.1.0,2020-10-09 12:15:56,newbies,NA
DEPONS2R,1.0.0,2020-10-09 12:15:56,newbies,NA
DIDmultiplegt,0.1.0,2020-10-09 12:15:56,newbies,NA
discoverableresearch,0.0.1,2020-10-09 12:15:56,newbies,NA
drhur,0.1.0,2020-10-09 12:15:56,newbies,NA
DSMParallelComputing,1.0,2020-10-09 12:15:56,newbies,NA
ecochange,1.3,2020-10-09 12:15:56,newbies,NA
efdcr,0.4.1,2020-10-09 12:15:56,inspect,NA
EHRtemporalVariability,1.1.2.1,2020-10-09 12:15:56,inspect,NA
EnvExpInd,0.1.0,2020-10-09 12:15:56,newbies,NA
exams.mylearn,1.2,2020-10-09 12:15:56,inspect,NA
