package,version,snapshot_time,folder,subfolder
act,1.0.1,2021-02-15 16:15:05,waiting,NA
AdvancedBasketballStats,1.0.0,2021-02-15 16:15:05,newbies,NA
ATAforecasting,0.0.51,2021-02-15 16:15:05,newbies,NA
batchr,0.0.1,2021-02-15 16:15:05,newbies,NA
bestridge,1.0.1,2021-02-15 16:15:05,newbies,NA
bfp,0.0-42,2021-02-15 16:15:05,pretest,NA
BiDAG,2.0.0,2021-02-15 16:15:05,publish,NA
bifurcatingr,1.0.0,2021-02-15 16:15:05,newbies,NA
bigreadr,0.2.1,2021-02-15 16:15:05,waiting,NA
bigreadr,0.2.2,2021-02-15 16:15:05,waiting,NA
blaster,1.0.1,2021-02-15 16:15:05,pending,NA
bp,1.0.0,2021-02-15 16:15:05,newbies,NA
bpcs,1.1.0,2021-02-15 16:15:05,waiting,NA
buffeRs,0.21,2021-02-15 16:15:05,newbies,NA
caRecall,0.1.0,2021-02-15 16:15:05,newbies,NA
CDatanet,0.0.1,2021-02-15 16:15:05,newbies,NA
CHOIRBM,0.0.2,2021-02-15 16:15:05,newbies,NA
cli,2.3.1,2021-02-15 16:15:05,waiting,NA
clusTransition,1.0,2021-02-15 16:15:05,newbies,NA
collin,0.0.1,2021-02-15 16:15:05,newbies,NA
communication,0.1,2021-02-15 16:15:05,newbies,NA
crul,1.1.0,2021-02-15 16:15:05,waiting,NA
CTD,1.00.0,2021-02-15 16:15:05,waiting,NA
datamods,1.0.1,2021-02-15 16:15:05,newbies,NA
dipm,1.0,2021-02-15 16:15:05,newbies,NA
DMTL,0.1.2,2021-02-15 16:15:05,newbies,NA
DTAplots,1.0.2.4,2021-02-15 16:15:05,newbies,NA
dynamichazard,0.6.8,2021-02-15 16:15:05,newbies,NA
echarty,0.1.0,2021-02-15 16:15:05,newbies,NA
featureflag,0.1.0,2021-02-15 16:15:05,newbies,NA
flipr,0.1.0,2021-02-15 16:15:05,newbies,NA
fwildclusterboot,0.3.1,2021-02-15 16:15:05,newbies,NA
gbm.auto,1.4.0,2021-02-15 16:15:05,newbies,NA
GeodesiCL,1.0.0,2021-02-15 16:15:05,waiting,NA
geoFourierFDA,0.1.0,2021-02-15 16:15:05,newbies,NA
germinationmetrics,0.1.5,2021-02-15 16:15:05,pending,NA
glmBfp,0.0-61,2021-02-15 16:15:05,pending,NA
gpboost,0.4.0,2021-02-15 16:15:05,newbies,NA
GWmodel,2.2-4,2021-02-15 16:15:05,pending,NA
healthyverse,1.0.0,2021-02-15 16:15:05,newbies,NA
hierBipartite,0.0.2,2021-02-15 16:15:05,newbies,NA
iconr,0.1.0,2021-02-15 16:15:05,newbies,NA
imager,0.42.7,2021-02-15 16:15:05,waiting,NA
IVYplot,0.1.0,2021-02-15 16:15:05,newbies,NA
jlsm,0.1.0,2021-02-15 16:15:05,newbies,NA
JOPS,0.1.9,2021-02-15 16:15:05,newbies,NA
kuniezu,0.1.2,2021-02-15 16:15:05,waiting,NA
lavacreg,0.1-0,2021-02-15 16:15:05,newbies,NA
lifecycle,1.0.0,2021-02-15 16:15:05,waiting,NA
LRErdd,0.0.5,2021-02-15 16:15:05,newbies,NA
marginalizedRisk,2021.2-4,2021-02-15 16:15:05,newbies,NA
matrixprofiler,0.1.3,2021-02-15 16:15:05,pending,NA
mbr,0.0.1,2021-02-15 16:15:05,newbies,NA
metagear,0.7,2021-02-15 16:15:05,pretest,NA
metapack,0.1.0,2021-02-15 16:15:05,newbies,NA
mfaces,0.1-2,2021-02-15 16:15:05,newbies,NA
mkin,1.0.3,2021-02-15 16:15:05,pretest,NA
MNB,1.0.0,2021-02-15 16:15:05,newbies,NA
netseg,1.0-0,2021-02-15 16:15:05,newbies,NA
nevada,0.1.0,2021-02-15 16:15:05,newbies,NA
NPIstats,0.1.0,2021-02-15 16:15:05,newbies,NA
OpenMx,2.19.1,2021-02-15 16:15:05,waiting,NA
PERMANOVA,0.1.0,2021-02-15 16:15:05,newbies,NA
phangorn,2.6.2,2021-02-15 16:15:05,waiting,NA
PheVis,1.0.1,2021-02-15 16:15:05,newbies,NA
ppendemic,0.1.0,2021-02-15 16:15:05,newbies,NA
ProcData,0.3.0,2021-02-15 16:15:05,inspect,NA
