package,version,snapshot_time,folder,subfolder,submission_time
BeeBDC,1.0.0,2023-09-25 04:26:10,human,UL,2023-09-13 09:55:00
EpiNow2,1.3.3,2023-09-25 04:26:10,human,UL,2022-11-01
ExGaussEstim,0.1.1,2023-09-25 04:26:10,newbies,NA,2023-09-22 14:40:00
ExtremalDep,0.0.4-1,2023-09-25 04:26:10,newbies,NA,2023-09-22 15:08:00
NGCHMSupportFiles,1.0.1,2023-09-25 04:26:10,newbies,NA,2023-09-22 16:55:00
RGN,1.0.0,2023-09-25 04:26:10,newbies,NA,2023-09-24 01:39:00
RPDTest,0.0.1,2023-09-25 04:26:10,newbies,NA,2023-09-25 01:29:00
Rfast,2.0.8,2023-09-25 04:26:10,human,UL,2023-06-25 17:58:00
VSR,1.0.0,2023-09-25 04:26:10,newbies,NA,2023-09-25 00:16:00
adbcpostgresql,0.6.0,2023-09-25 04:26:10,human,UL,2023-08-31 17:54:00
adestr,0.5.0,2023-09-25 04:26:10,newbies,NA,2023-09-22 20:41:00
animint2,2023.3.10,2023-09-25 04:26:10,human,UL,2023-03-12
boiwsa,1.0.0,2023-09-25 04:26:10,newbies,NA,2023-09-24 15:26:00
cargo,0.3.12,2023-09-25 04:26:10,human,UL,2022-09-28
cgalMeshes,2.2.0,2023-09-25 04:26:10,human,UL,2023-06-24 21:23:00
climate,1.1.0,2023-09-25 04:26:10,human,UL,2022-10-12
clpAPI,1.3.2,2023-09-25 04:26:10,human,UL,2022-10-21
coala,0.7.1,2023-09-25 04:26:10,human,UL,2022-12-30
cplexAPI,1.5.1,2023-09-25 04:26:10,human,UL,2022-10-21
dodgr,0.2.21,2023-09-25 04:26:10,human,UL,2023-06-01 16:00:00
et.nwfva,0.1.1,2023-09-25 04:26:10,human,UL,2022-11-22
factset.protobuf.stachextensions,1.0.2,2023-09-25 04:26:10,human,UL,2022-11-18
fritools,4.0.0,2023-09-25 04:26:10,human,UL,2022-10-12
gdalraster,1.0.0,2023-09-25 04:26:10,human,UL,2023-05-05 01:19:00
gifski,1.12.0-2,2023-09-25 04:26:10,human,UL,2023-08-09 12:13:00
highlighter,0.1,2023-09-25 04:26:10,newbies,NA,2023-09-23 07:01:00
logitr,1.1.1,2023-09-25 04:26:10,inspect,NA,2023-09-24 20:50:00
mMARCH.AC,2.9.2.0,2023-09-25 04:26:10,human,UL,2023-07-07 16:37:00
mcgibbsit,1.2.2,2023-09-25 04:26:10,newbies,NA,2023-09-24 23:55:00
parfm,2.7.7,2023-09-25 04:26:10,human,UL,2022-11-25
sccore,1.0.3,2023-09-25 04:26:10,human,UL,2023-03-12
transreg,1.0.0,2023-09-25 04:26:10,newbies,NA,2023-09-24 10:34:00
vivid,0.2.6,2023-09-25 04:26:10,human,UL,2023-04-03 19:00:00
