package,version,snapshot_time,folder,subfolder
act,0.94,2020-10-28 07:15:12,newbies,NA
ADtools,0.5.3,2020-10-28 07:15:12,newbies,NA
altmeta,3.2,2020-10-28 07:15:12,inspect,NA
amapGeocode,0.5.0,2020-10-28 07:15:12,waiting,NA
ausplotsR,1.2,2020-10-28 07:15:12,pretest,NA
bendr,1.0.4,2020-10-28 07:15:12,pretest,NA
boutliers,1.1-1,2020-10-28 07:15:12,newbies,NA
brokenstick,1.1.0,2020-10-28 07:15:12,newbies,NA
brxx,0.1.0,2020-10-28 07:15:12,newbies,NA
BSBT,1.0.0,2020-10-28 07:15:12,newbies,NA
campfin,1.0.1,2020-10-28 07:15:12,newbies,NA
causalCmprsk,1.0.0,2020-10-28 07:15:12,newbies,NA
CausalMBSTS,0.1.0,2020-10-28 07:15:12,newbies,NA
cem,1.1.23,2020-10-28 07:15:12,newbies,NA
ceser,1.0.0,2020-10-28 07:15:12,newbies,NA
cinaR,0.1.0,2020-10-28 07:15:12,newbies,NA
circlize,0.4.11,2020-10-28 07:15:12,waiting,NA
colorizer,0.1.0,2020-10-28 07:15:12,newbies,NA
cpsvote,0.1.0,2020-10-28 07:15:12,inspect,NA
CTP,2.0.0,2020-10-28 07:15:12,newbies,NA
cupcake,0.1.0.0,2020-10-28 07:15:12,newbies,NA
curephEM,0.1.6,2020-10-28 07:15:12,newbies,NA
dash,0.8.0,2020-10-28 07:15:12,pretest,NA
datacleanr,1.0.0,2020-10-28 07:15:12,newbies,NA
dataspice,1.0.0,2020-10-28 07:15:12,newbies,NA
DataVisualizations,1.2.1,2020-10-28 07:15:12,inspect,NA
deepgp,0.1.0,2020-10-28 07:15:12,newbies,NA
drhur,0.1.0,2020-10-28 07:15:12,newbies,NA
ecoCopula,1.0.1,2020-10-28 07:15:12,newbies,NA
ecostats,0.1.3,2020-10-28 07:15:12,newbies,NA
ef,1.2.0,2020-10-28 07:15:12,newbies,NA
eixport,0.5.0,2020-10-28 07:15:12,newbies,NA
envi,0.1.0,2020-10-28 07:15:12,newbies,NA
EpiBibR,0.1.0,2020-10-28 07:15:12,newbies,NA
epifitter,0.1.0,2020-10-28 07:15:12,newbies,NA
epinetr,0.93,2020-10-28 07:15:12,newbies,NA
Eunomia,1.0.1,2020-10-28 07:15:12,newbies,NA
eventglm,1.0.0,2020-10-28 07:15:12,newbies,NA
fastJT,1.0.6,2020-10-28 07:15:12,newbies,NA
febr,1.3.1,2020-10-28 07:15:12,newbies,NA
FFdownload,1.0.5,2020-10-28 07:15:12,newbies,NA
fflr,0.3.9,2020-10-28 07:15:12,inspect,NA
FlexReg,1.0,2020-10-28 07:15:12,newbies,NA
fmpcloudr,0.1.1,2020-10-28 07:15:12,newbies,NA
functiondepends,0.2.1,2020-10-28 07:15:12,newbies,NA
gawdis,0.1.0,2020-10-28 07:15:12,newbies,NA
GCSM,0.1.0,2020-10-28 07:15:12,newbies,NA
geeCRT,0.0.1,2020-10-28 07:15:12,newbies,NA
geoFKF,0.1.0,2020-10-28 07:15:12,newbies,NA
getDTeval,0.0.1,2020-10-28 07:15:12,newbies,NA
GEVACO,1.0.0,2020-10-28 07:15:12,newbies,NA
gfboost,0.1.0,2020-10-28 07:15:12,newbies,NA
GMKMcharlie,1.1.1,2020-10-28 07:15:12,pending,NA
gnomonicM,1.0.0,2020-10-28 07:15:12,newbies,NA
gontr,1.1.0,2020-10-28 07:15:12,newbies,NA
googleVis,0.6.7,2020-10-28 07:15:12,inspect,NA
gpbStat,0.3.0,2020-10-28 07:15:12,newbies,NA
groundhog,1.0.0,2020-10-28 07:15:12,newbies,NA
hdpGLM,1.0.0,2020-10-28 07:15:12,newbies,NA
heplots,1.3-7,2020-10-28 07:15:12,inspect,NA
hisse,1.9.10,2020-10-28 07:15:12,inspect,NA
i2extras,0.0.2,2020-10-28 07:15:12,newbies,NA
icews,1.0.0,2020-10-28 07:15:12,newbies,NA
IFAA,1.0.0,2020-10-28 07:15:12,pretest,NA
insane,0.1.0,2020-10-28 07:15:12,newbies,NA
interleave,0.1.0,2020-10-28 07:15:12,newbies,NA
IsoplotRgui,3.5,2020-10-28 07:15:12,newbies,NA
isoreader,1.2.7,2020-10-28 07:15:12,newbies,NA
ivsacim,1.0,2020-10-28 07:15:12,newbies,NA
landmap,0.0.4,2020-10-28 07:15:12,newbies,NA
LassoGEE,1.0,2020-10-28 07:15:12,newbies,NA
libproj,7.1.0-3,2020-10-28 07:15:12,pending,NA
lilikoi,2.0.3,2020-10-28 07:15:12,inspect,NA
lineup2,0.2-4,2020-10-28 07:15:12,newbies,NA
maczic,0.1.0,2020-10-28 07:15:12,newbies,NA
maGUI,3.0,2020-10-28 07:15:12,newbies,NA
marmap,1.0.5,2020-10-28 07:15:12,inspect,NA
MatchItEXT,0.0.1,2020-10-28 07:15:12,newbies,NA
MCMChybridGP,5.3,2020-10-28 07:15:12,pretest,NA
metaBMA,0.6.5,2020-10-28 07:15:12,pretest,NA
MetaClean,1.0.1,2020-10-28 07:15:12,waiting,NA
metajam,0.2.3,2020-10-28 07:15:12,newbies,NA
metamicrobiomeR,1.2,2020-10-28 07:15:12,newbies,NA
MetaSKAT,0.81,2020-10-28 07:15:12,newbies,NA
mgee2,0.1,2020-10-28 07:15:12,newbies,NA
mhcnuggetsr,1.1,2020-10-28 07:15:12,newbies,NA
microbial,0.0.13,2020-10-28 07:15:12,pretest,NA
microeco,0.2.1,2020-10-28 07:15:12,pretest,NA
milr,0.3.1,2020-10-28 07:15:12,pretest,NA
monoClust,1.0.0,2020-10-28 07:15:12,newbies,NA
msce,1.0.1,2020-10-28 07:15:12,newbies,NA
msSPChelpR,0.8.6,2020-10-28 07:15:12,newbies,NA
N2R,0.1.1,2020-10-28 07:15:12,pending,NA
netmhc2pan,1.3,2020-10-28 07:15:12,newbies,NA
nlmixr,1.1.1-10,2020-10-28 07:15:12,newbies,NA
nlstac,0.1.0,2020-10-28 07:15:12,newbies,NA
openSkies,0.99.3,2020-10-28 07:15:12,newbies,NA
oskeyring,0.1.0,2020-10-28 07:15:12,newbies,NA
ParallelDSM,0.1,2020-10-28 07:15:12,newbies,NA
parameters,0.9.0,2020-10-28 07:15:12,waiting,NA
PDE,1.0.0,2020-10-28 07:15:12,newbies,NA
politeness,0.7.1,2020-10-28 07:15:12,waiting,NA
PooledCohort,0.0.1,2020-10-28 07:15:12,newbies,NA
PoSI,1.1,2020-10-28 07:15:12,newbies,NA
PPTcirc,0.1.0,2020-10-28 07:15:12,pretest,NA
projpred,2.0.2,2020-10-28 07:15:12,inspect,NA
prWarp,1.0.0,2020-10-28 07:15:12,newbies,NA
qicharts2,0.7.0,2020-10-28 07:15:12,pretest,NA
R6,2.5.0,2020-10-28 07:15:12,waiting,NA
RALSA,0.90.0,2020-10-28 07:15:12,newbies,NA
Ravages,0.1,2020-10-28 07:15:12,newbies,NA
RcmdrPlugin.DCCV,0.1-0,2020-10-28 07:15:12,newbies,NA
read.cwa,0.2.1,2020-10-28 07:15:12,newbies,NA
rearrr,0.1.0,2020-10-28 07:15:12,newbies,NA
reasonabletools,0.1,2020-10-28 07:15:12,newbies,NA
RefManageR,1.3.0,2020-10-28 07:15:12,waiting,NA
repello,1.0.0,2020-10-28 07:15:12,newbies,NA
reproducer,0.4.0,2020-10-28 07:15:12,inspect,NA
resemble,2.0.0,2020-10-28 07:15:12,newbies,NA
ricu,0.1.2,2020-10-28 07:15:12,newbies,NA
RMLPCA,0.0.1,2020-10-28 07:15:12,newbies,NA
rmoo,0.1.3,2020-10-28 07:15:12,pretest,NA
sad,0.1.2,2020-10-28 07:15:12,newbies,NA
SBAGM,0.1.0,2020-10-28 07:15:12,newbies,NA
sbo,0.3.0,2020-10-28 07:15:12,newbies,NA
sccore,0.1.1,2020-10-28 07:15:12,pending,NA
scidb,3.0.1,2020-10-28 07:15:12,newbies,NA
seedr,0.3.0,2020-10-28 07:15:12,newbies,NA
SEIRfansy,1.1.0,2020-10-28 07:15:12,newbies,NA
sftrack,0.5.2,2020-10-28 07:15:12,newbies,NA
shinyscreenshot,0.1.0,2020-10-28 07:15:12,newbies,NA
SMARTbayesR,1.0.0,2020-10-28 07:15:12,newbies,NA
