package,version,snapshot_time,folder,subfolder
biClassify,1.1,2021-07-26 18:12:17,pending,NA
BIRDS,0.2.1,2021-07-26 18:12:17,pending,NA
BlanketStatsments,0.1.0,2021-07-26 18:12:17,pretest,NA
blockcluster,4.5.1,2021-07-26 18:12:17,pending,NA
changepointTests,0.1.1,2021-07-26 18:12:17,newbies,NA
cld3,1.4.2,2021-07-26 18:12:17,pending,NA
clusrank,1.0-1,2021-07-26 18:12:17,waiting,NA
codalm,0.1.2,2021-07-26 18:12:17,pretest,NA
deepNN,1.1,2021-07-26 18:12:17,waiting,NA
ecochange,2.0,2021-07-26 18:12:17,pending,NA
ergm,4.1.2,2021-07-26 18:12:17,pending,NA
fastai,2.0.9,2021-07-26 18:12:17,inspect,NA
findInGit,0.1.0,2021-07-26 18:12:17,newbies,NA
glmmTMB,1.1.2.1,2021-07-26 18:12:17,pending,NA
grpreg,3.4.0,2021-07-26 18:12:17,waiting,NA
HDShOP,0.1.0,2021-07-26 18:12:17,pretest,NA
individual,0.1.4,2021-07-26 18:12:17,pending,NA
ipeadatar,0.1.4,2021-07-26 18:12:17,pending,NA
landsepi,1.1.0,2021-07-26 18:12:17,waiting,NA
LFApp,1.2,2021-07-26 18:12:17,newbies,NA
maxLik,1.5-0,2021-07-26 18:12:17,waiting,NA
maxLik,1.5-2,2021-07-26 18:12:17,pretest,NA
mcboost,0.3.3.0,2021-07-26 18:12:17,pending,NA
MedianaDesigner,0.2.2,2021-07-26 18:12:17,pending,NA
MFPCA,1.3-7,2021-07-26 18:12:17,pending,NA
profoc,0.8.0,2021-07-26 18:12:17,newbies,NA
protolite,2.1.1,2021-07-26 18:12:17,pending,NA
rankUncertainty,1.0.1.0,2021-07-26 18:12:17,pending,NA
rbedrock,0.1.1,2021-07-26 18:12:17,pending,NA
rebmix,2.13.1,2021-07-26 18:12:17,pending,NA
Rfmtool,4.1.4,2021-07-26 18:12:17,pending,NA
rKOMICS,1.2,2021-07-26 18:12:17,waiting,NA
stringx,0.1.1,2021-07-26 18:12:17,newbies,NA
tidysq,1.1.2-1,2021-07-26 18:12:17,pending,NA
